employee_id,first_name,last_name,hire_date,job_title,salary,department_id,manager_id,current_location_id,status
1,Samantha,Davis,2017-12-05,"Scientist, biomedical",31870.93,16,NULL,14,"On Leave"
2,Julie,Chen,2024-11-25,"Designer, blown glass/stained glass",57972.12,6,1,4,"On Leave"
3,Austin,Beck,2016-04-17,"Education administrator",127746.25,14,NULL,15,"On Leave"
4,Kara,Allen,2015-10-18,"Loss adjuster, chartered",110118.33,12,NULL,12,Terminated
5,Virginia,Andrews,2017-02-22,"Programmer, applications",50020.90,6,NULL,4,Active
6,Edward,Mejia,2019-01-23,"Community education officer",88110.98,5,NULL,5,Terminated
7,Willie,Livingston,2023-01-06,"Chief of Staff",40131.08,9,NULL,11,Retired
8,Kevin,White,2022-10-30,"Research scientist (maths)",71826.17,12,7,12,Retired
9,Carolyn,Evans,2024-06-12,"Youth worker",80276.42,3,4,3,"On Leave"
10,Ray,Berry,2015-10-04,"Chartered loss adjuster",117400.80,11,NULL,10,Terminated
11,Christopher,Martin,2020-02-23,"Physiological scientist",119728.80,11,1,10,Terminated
12,Jon,Phillips,2022-11-04,"Health promotion specialist",51267.61,12,NULL,12,Active
13,Amy,Perez,2017-07-01,"Administrator, local government",106196.47,10,11,11,Active
14,Jacob,Moore,2017-09-05,"Nurse, children's",66299.59,10,NULL,11,"On Leave"
15,Nicole,Le,2025-06-05,Psychotherapist,116786.70,11,8,10,"On Leave"
16,Charles,Harding,2019-07-09,"Scientific laboratory technician",120098.10,10,NULL,11,Terminated
17,Matthew,Perez,2020-06-09,"Nutritional therapist",48983.19,3,NULL,3,"On Leave"
18,Shannon,Livingston,2023-07-25,"Clinical embryologist",102808.61,6,NULL,4,Active
19,Mike,Daugherty,2020-04-09,"Engineer, materials",63362.91,13,NULL,12,"On Leave"
20,Ernest,Richard,2024-02-13,"Chartered certified accountant",106863.18,16,NULL,14,Retired
21,Michelle,Henson,2022-06-22,"Research officer, trade union",123512.68,6,NULL,4,"On Leave"
22,John,Phillips,2022-07-20,"Education officer, environmental",43666.68,7,NULL,7,Terminated
23,Lisa,Mckinney,2015-10-29,"IT sales professional",98620.02,5,NULL,5,Active
24,Nicole,Peck,2024-10-09,"Passenger transport manager",98259.74,16,NULL,14,"On Leave"
25,Kristen,Ayers,2022-07-30,"Commercial art gallery manager",105350.20,3,NULL,3,Retired
26,Sarah,Stephenson,2019-05-06,"Paediatric nurse",120169.91,6,NULL,4,Terminated
27,Clinton,Hughes,2018-11-20,"Fisheries officer",115808.99,14,NULL,15,Terminated
28,Jason,Shepard,2019-10-19,"Licensed conveyancer",111918.19,1,10,3,"On Leave"
29,Judy,Williams,2017-05-07,"Educational psychologist",148058.19,9,NULL,11,"On Leave"
30,Edwin,Bates,2020-04-23,"Engineer, electronics",47935.66,15,29,15,Active
31,Jonathan,Jones,2016-03-25,"Barrister's clerk",64069.19,3,NULL,3,Retired
32,Yvette,Robles,2023-09-07,"Designer, jewellery",51985.34,7,NULL,7,"On Leave"
33,Faith,Fisher,2018-03-11,"Scientist, biomedical",77563.31,2,NULL,1,Retired
34,Amber,Gomez,2018-09-22,"Accountant, chartered certified",71395.26,7,NULL,7,Retired
35,Cory,Mack,2020-03-04,"Loss adjuster, chartered",60958.61,6,NULL,4,"On Leave"
36,Thomas,Maxwell,2025-05-30,"Data processing manager",37589.79,6,NULL,4,Retired
37,Cynthia,Jones,2018-02-24,"Radiographer, therapeutic",144800.00,10,28,11,Active
38,Taylor,Miller,2021-07-19,"Engineer, mining",40484.80,6,35,4,Active
39,Joel,Wright,2021-09-27,Lawyer,92915.86,9,NULL,11,Retired
40,Angela,Hill,2019-03-14,"Pensions consultant",91842.45,11,31,10,Active
41,Robert,Mora,2018-02-18,"Health physicist",72557.25,14,NULL,15,"On Leave"
42,Krystal,Mann,2016-06-05,"Engineer, building services",122842.03,9,NULL,11,Active
43,Nicholas,Hodges,2023-05-18,"Art therapist",121466.47,5,NULL,5,"On Leave"
44,Donald,Richards,2021-12-09,"Forest/woodland manager",50889.82,16,NULL,14,Active
45,Bruce,Johnson,2024-08-09,"Editor, magazine features",50343.15,2,NULL,1,Active
46,Julia,Lee,2018-03-15,"Merchandiser, retail",31748.33,11,NULL,10,"On Leave"
47,James,Quinn,2023-06-14,"Administrator, local government",49825.44,6,NULL,4,Active
48,Kathleen,Hill,2017-09-11,"Tourist information centre manager",100087.13,12,NULL,12,Retired
49,James,Cook,2020-02-19,"Television production assistant",95520.54,14,25,15,Retired
50,Veronica,Durham,2023-04-22,"Drilling engineer",140751.64,9,NULL,11,Active
51,Hannah,Ray,2018-07-07,"Chartered loss adjuster",113438.49,16,NULL,14,Terminated
52,Jason,Nelson,2022-10-13,"Designer, interior/spatial",146733.89,15,NULL,15,Terminated
53,Christopher,Gregory,2017-09-10,"Glass blower/designer",42531.77,3,52,3,"On Leave"
54,Anna,Martinez,2023-09-17,"Training and development officer",62351.46,16,NULL,14,Retired
55,Anthony,Good,2017-03-14,"Arts development officer",55976.63,10,NULL,11,Terminated
56,Andrea,Robbins,2016-05-19,"Editor, commissioning",43306.54,3,NULL,3,Terminated
57,Bethany,Williamson,2020-02-25,"Pilot, airline",74726.61,5,NULL,5,Retired
58,Monica,Miller,2022-11-08,"Ceramics designer",116173.47,13,14,12,Terminated
59,Joseph,Herrera,2023-07-08,"Chartered management accountant",133291.75,9,NULL,11,Retired
60,Jeremy,Williams,2018-11-06,"Therapist, drama",66804.27,12,NULL,12,Active
61,Ryan,Wilson,2024-09-06,Phytotherapist,118389.00,2,NULL,1,Active
62,Victoria,Parker,2024-11-26,"Building surveyor",141988.44,12,48,12,Active
63,Kenneth,Summers,2018-05-03,"Chemical engineer",89656.09,15,59,15,Retired
64,Cory,Gonzalez,2019-08-27,"Horticultural consultant",37676.50,8,NULL,8,"On Leave"
65,Chelsea,Jones,2021-12-20,"Corporate treasurer",116867.84,5,NULL,5,Retired
66,Bradley,James,2021-07-10,Interpreter,104056.24,15,NULL,15,Retired
67,Aimee,Stafford,2023-12-28,"Scientist, forensic",94079.30,1,44,3,"On Leave"
68,Marcus,Dickson,2020-09-25,"Engineer, building services",52915.00,1,NULL,3,Terminated
69,Jessica,Garcia,2015-12-03,"Forensic psychologist",30711.62,2,NULL,1,Active
70,Elizabeth,Ayala,2019-08-12,"Games developer",141357.56,14,NULL,15,"On Leave"
71,Jessica,Chase,2023-07-01,"Air broker",125222.55,5,28,5,Active
72,Melissa,Flores,2025-06-25,"Charity fundraiser",82366.87,9,40,11,Retired
73,Monica,Walker,2024-11-24,"Air cabin crew",144088.64,15,23,15,Active
74,Chloe,Ruiz,2025-05-19,"Research officer, political party",72097.53,2,NULL,1,"On Leave"
75,Larry,Edwards,2019-06-25,"Theatre manager",86500.20,11,NULL,10,Active
76,Maureen,Page,2016-12-05,"Freight forwarder",140658.25,8,NULL,8,Retired
77,Adam,Nelson,2016-12-15,"Chartered management accountant",68527.74,5,NULL,5,"On Leave"
78,Caitlin,Fleming,2023-04-29,"Psychologist, educational",118092.67,4,75,4,Retired
79,Michael,Gillespie,2016-05-25,"Film/video editor",96329.50,12,37,12,Terminated
80,Karen,Harrell,2018-08-18,"Social researcher",68278.95,6,NULL,4,Active
81,Robert,Wilson,2023-12-14,Microbiologist,79788.97,15,NULL,15,Active
82,Tina,Williams,2020-02-04,"Theatre director",47846.70,2,NULL,1,Active
83,Shaun,Galvan,2024-02-04,"Call centre manager",125125.03,7,NULL,7,Retired
84,Brandon,Patton,2022-04-05,Writer,133511.21,7,NULL,7,Retired
85,Megan,Baker,2018-04-12,"Chemist, analytical",134768.94,5,NULL,5,"On Leave"
86,Ralph,Chandler,2022-06-30,Neurosurgeon,88841.00,5,34,5,Retired
87,Diane,Stevens,2023-04-11,"Pharmacist, hospital",54436.26,8,NULL,8,Retired
88,Shirley,Lowe,2019-05-17,"Child psychotherapist",141885.43,3,NULL,3,Retired
89,Barry,Solomon,2023-03-07,"Mining engineer",99639.47,4,80,4,"On Leave"
90,David,Reynolds,2018-09-05,"Chief Marketing Officer",133067.13,15,NULL,15,Retired
91,Ashley,Sandoval,2024-12-22,"Marine scientist",108327.54,13,NULL,12,Retired
92,Abigail,Kelly,2016-10-06,"Barrister's clerk",112620.84,13,NULL,12,"On Leave"
93,Christopher,Johnson,2022-10-14,"Diagnostic radiographer",71194.50,7,NULL,7,Active
94,Rebecca,Hughes,2024-11-06,"Paediatric nurse",87782.87,10,NULL,11,Active
95,Patrick,Ferrell,2017-01-20,"Radio producer",109820.21,12,NULL,12,Active
96,Walter,Murphy,2020-09-30,Ecologist,69796.18,3,NULL,3,Active
97,Jesse,Alexander,2022-06-13,"Engineer, broadcasting (operations)",80732.13,15,NULL,15,Retired
98,Robert,Curtis,2018-12-15,"Financial trader",111028.61,5,NULL,5,Active
99,Luis,Brown,2016-12-06,"Designer, ceramics/pottery",95671.57,6,NULL,4,Retired
100,Anthony,Cunningham,2019-05-03,Musician,92405.25,15,50,15,"On Leave"
101,Kimberly,Thomas,2017-02-18,"Heritage manager",130195.74,3,NULL,3,"On Leave"
